Fac1,Fac2,Frequency Fac1-Fac2 pair
dFac--974975231,vcFac-1828845079,9
dFac-1296005574,vcFac--1781485739,8
dFac--1399374457,vcFac-1085181026,7
dFac-2078801302,vcFac-401358381,7
dFac--2039689643,vcFac--2063666527,6
dFac--971443653,vcFac-1085181026,6
dFac--1251154904,vcFac-1085181026,6
dFac--971443653,vcFac-401358381,5
dFac--308529784,vcFac-1085181026,5
dFac--2048293156,vcFac--1781485739,5
dFac-47866670,vcFac--2063666527,5
dFac-968623898,vcFac-1828845079,4
dFac--1247407233,vcFac--1781485739,4
dFac--1369391843,vcFac--1389275851,4
dFac-331927800,vcFac--1165594343,4
dFac--2119703341,vcFac-1085181026,4
dFac-996088083,vcFac--2063666527,4
dFac-2078801302,vcFac-1085181026,4
dFac--1280584187,vcFac--191488420,4
dFac-1950995873,vcFac-1828845079,4
dFac--974975231,vcFac-695577948,4
dFac--799351857,vcFac-401358381,3
dFac-1998219084,vcFac--1389275851,3
dFac--1080863330,vcFac--1181888648,3
dFac-60145176,vcFac-1085181026,3
dFac--705311494,vcFac--2063666527,3
dFac--799351857,vcFac--1564603035,3
dFac-35760095,vcFac-1828845079,3
dFac--1251154904,vcFac--2063666527,3
dFac--529703125,vcFac-401358381,3
dFac--974975231,vcFac--1768011975,3
dFac--705311494,vcFac-401358381,3
dFac--1591360759,vcFac--366127121,3
dFac--94430883,vcFac-1085181026,3
dFac--94430883,vcFac--1165594343,3
dFac--288881666,vcFac-1828845079,3
dFac--288881666,vcFac-455232299,3
dFac--1653206169,vcFac-1828845079,3
dFac-72663453,vcFac--2063666527,3
dFac--1098039010,vcFac-455232299,3
dFac--119676141,vcFac-401358381,3
dFac-264206953,vcFac--1781485739,3
dFac--1973840035,vcFac-455232299,3
dFac-1107236739,vcFac-401358381,3
dFac--789423819,vcFac--2063666527,3
dFac--757222665,vcFac--191488420,3
dFac-2142818191,vcFac-1556990684,3
dFac--2099007449,vcFac-1085181026,2
dFac-1033981013,vcFac--2135636345,2
dFac-1950995873,vcFac--2114974063,2
dFac--974975231,vcFac--366127121,2
dFac-2078801302,vcFac-1784339362,2
dFac-1755782083,vcFac-1828845079,2
dFac--1653206169,vcFac-695577948,2
dFac-1979039104,vcFac-1828845079,2
dFac-1558821181,vcFac-1824489553,2
dFac-60145176,vcFac--1165594343,2
dFac-301506064,vcFac--415254660,2
dFac--313503155,vcFac-1085181026,2
dFac-602620307,vcFac-1828845079,2
dFac-1153599655,vcFac-401358381,2
dFac-1033981013,vcFac--615803654,2
dFac-602620307,vcFac--1929785723,2
dFac--971443653,vcFac--1781485739,2
dFac-1003697758,vcFac--1165594343,2
dFac-1755782083,vcFac--1929785723,2
dFac--528989944,vcFac-1085181026,2
dFac--971443653,vcFac-1453926299,2
dFac--1080863330,vcFac-1285158958,2
dFac-60145176,vcFac--2063666527,2
dFac-1315922950,vcFac-401358381,2
dFac-1558821181,vcFac-1085181026,2
dFac-2078801302,vcFac-347839723,2
dFac-427212038,vcFac--1781485739,2
dFac-549345021,vcFac-695577948,2
dFac--378708487,vcFac--366127121,2
dFac--799351857,vcFac-1784339362,2
dFac--799351857,vcFac-1556990684,2
dFac--1299445396,vcFac--1781485739,2
dFac--1616552374,vcFac--1165594343,2
dFac-2142818191,vcFac-401358381,2
dFac-1780737932,vcFac-1085181026,2
dFac--43698940,vcFac--1781485739,2
dFac--1098039010,vcFac-1828845079,2
dFac-2030462111,vcFac--1781485739,2
dFac--1098039010,vcFac-1935734788,2
dFac-1780737932,vcFac-1784339362,2
dFac-1724672702,vcFac--1165594343,2
dFac-1780737932,vcFac-401358381,2
dFac--1881935443,vcFac--415254660,2
dFac-1296005574,vcFac-695577948,2
dFac-1558821181,vcFac-401358381,2
dFac-261874627,vcFac--1781485739,2
dFac--794380550,vcFac--366127121,2
dFac-358019082,vcFac--1165594343,2
dFac-35760095,vcFac--1929785723,2
dFac--168404872,vcFac-401358381,2
dFac--1603367404,vcFac--1389275851,2
dFac-1394710670,vcFac-347839723,2
dFac--1251154904,vcFac-401358381,2
dFac--705311494,vcFac-1085181026,2
dFac-196381642,vcFac-1085181026,2
dFac-1394710670,vcFac-401358381,2
dFac--100341110,vcFac-455232299,2
dFac--1247407233,vcFac-695577948,1
dFac-2078801302,vcFac--1165594343,1
dFac--971443653,vcFac-1828845079,1
dFac-1780737932,vcFac--1165594343,1
dFac-1394710670,vcFac-1085181026,1
dFac--1247407233,vcFac--1389275851,1
dFac-1612593066,vcFac--1389275851,1
dFac-1612593066,vcFac--1165594343,1
dFac-2078801302,vcFac--415254660,1
dFac--971443653,vcFac--1165594343,1
dFac--971443653,vcFac-455232299,1
dFac-1107236739,vcFac-455232299,1
dFac--971443653,vcFac--1997742778,1
dFac--971443653,vcFac--1181888648,1
dFac--971443653,vcFac--1768011975,1
dFac-35760095,vcFac--2114974063,1
dFac-1780737932,vcFac-1824489553,1
dFac--971443653,vcFac--1389275851,1
dFac--971443653,vcFac-347839723,1
dFac-1780737932,vcFac--2063666527,1
dFac--1247407233,vcFac-1935734788,1
dFac-35533829,vcFac--1564603035,1
dFac-1612593066,vcFac-1223929260,1
dFac--154638542,vcFac-1085181026,1
dFac-358019082,vcFac-401358381,1
dFac--1004896675,vcFac-1784339362,1
dFac--1685077396,vcFac--1781485739,1
dFac-717960765,vcFac--191488420,1
dFac-382050608,vcFac--1165594343,1
